Target,Search Operator
Android package files,intitle:”index of/” “.apk”
Executable files,intitle:”index of/” “.exe”
Batch files,intitle:”index of/” ext:bat
Telegram Groups,site:t.me/joinchat/
AnonFiles,insite:anonfiles.com
Confidential PDFs,"filetype:pdf AND ""confidential"""
Confidential PowerPoints,"ext:ppt | ext:pptx AND ""confidential"""
PDFs referencing a website,"ext:pdf intext:""example.com"""
Default password in .doc,"ext:doc | ext:docx intext:""default password is"""
Default password in .xls,"ext:xls | ext:xlsx intext:""default password is"""
Credentials in Log files,"intext:""username="" AND ""password="" ext:log"
Admin credentials,view-source:https://example.com/admins.php
Credentials on Trello boards,"inurl:""trello.com"" and intext:""username"" and intext:""password"""
AWS buckets,site:http://s3.amazonaws.com {company_name}
Azure Blobs,inurl: blob.core.windows.net intitle:index of
Google Drives,"site:drive.google.com +""drive/folders"""
Company Twitter handles,intitle:{company_name} site:https://twitter.com -inurl:search
Credentials in SQL files,filetype:sql intext:client AND password
FTP,inurl:ftp -inurl:http -inurl:https {company name}
WordPress files,site:example.com inurl:wp-content/uploads
Test pages,site:example.com inurl:test 
Robots.txt,site:example.com filetype:txt 
Zoom,site:http://zoom.us inurl:{company name}
Skype calls,site:broadcast.skype.com {company name}
Atlassian,site:http://atlassian.net inurl: {company name}
Open Redirects,site:http://example.com inurl:redir | inurl:redirect | inurl:return | inurl:to
WhatsApp contacts on FB,"site:https://facebook.com ""IT"" (Telephone OR ☏ OR ✆ OR Mobile phone) +""whatsapp"" "
WhatsApp contacts on LI,"site:https://linkedin.com ""anything"" (Telephone OR ☏ OR ✆ OR Mobile phone) +""whatsapp"""
Nessus Scan Reports,"intitle:""Nessus Scan Report"" ""This file was generated by Nessus"" "
