Type,Service,Query
Port,SSH,ssl:”brand name” port:22
Port,FTP,ssl:”brand name” port:21
Port,SMTP,ssl:”brand name” port:25
Port,VNC,"ssl:""brand name"" product:""VNC"" port:”5900”"
Port,RDP,ssl:”brand name” port:3389
Port,SMB,ssl:”brand name” port:445
Database,MongoDB," ssl:”brand name” product:""MongoDB"""
Database,MS-SQL,ssl:”brand name” product:”MS-SQL” 
Database,ElasticSearch,"ssl:""brand name"" product:""elastic"""
Database,ElasticSearch,http.favicon.hash:1611729805
Database,ElasticSearch,http.favicon.hash:1552860581 
Database,Redis,"ssl:”brand name” product:""Redis"" port:""6379"""
Database,MariaDB,http.title:mariadb
Email,MS Exchange,http.title:exchange
Email,MS Outlook,http.favicon.hash:-1249852061
Email,MS OWA,http.favicon.hash:442749392
Virtualisation,Docker Remote API,ssl:”brand name” port:”2375”
Virtualisation,VMware Horizon,http.title:vmware http.favicon.hash:-991123252
Virtualisation, VMware vCenter,http.title:ID_VC_Welcome
Cloud,MS SharePoint,http.title:sharepoint
Web Server,Oracle WebLogic,http.title:weblogic
Web Server,Apache Tomcat,http.title:tomcat
Web Server,Apache Tomcat,http.favicon.hash:-297069493
Storage,QNAP NAS,ssl:”brand name” “nas-qnap”
VPN,Citrix,ssl:”brand name” product:”Citrix”
VPN,Citrix,http.favicon.hash:-1166125415
VPN,Pulse Secure,"ssl:”brand name” product:""Pulse Secure"""
VPN,Pulse Secure,http.component:pulse secure
VPN,Fortinet,http.title:fortigate
VPN,F5 BIG-IP, ssl:”brand name” http.title:BIG-IP
VPN,F5 BIG-IP, ssl:”brand name” http.favicon.hash:878647854
VPN,Fortinet,http.favicon.hash:945408572
VPN/FireWall,SonicWall, ssl:”brand name” http.favicon.hash:631108382
SIEM,SolarWinds Orion,http.title:solarwinds http.favicon.hash:-1776962843
SIEM,Solarwinds Serv-U FTP Server,http.favicon.hash:812385209
CMS,Drupal,http.favicon.hash:1174841451
CMS,Joomla,http.favicon.hash:366524387
CMS,Magento,http.favicon.hash:-38580010
CMS,Jenkins,http.favicon.hash:81586312
Routers,Cisco Meraki,http.favicon.hash:163842882
Routers,Ubiquiti,http.favicon.hash:-1446794564
Misc,Vulnerabilities,ssl:”brand name” has_vuln:true
C&C,Metasploit,http.favicon.hash:"-127886975"
